,Adipose-InsulinGenes,Adipose-InsulinCorr,Liver-InsulinGenes,Liver-InsulinCorr,Muscle-InsulinGenes,Muscle-InsulinCorr,Intestine-InsulinGenes,Intestine-InsulinCorr,Hypothalamus-InsulinGenes,Hypothalamus-InsulinCorr
61,Cfd,-0.5924738767421135,Slco2a1,-0.5215546799360493,LOC100048461,0.34190979792365833,Cyp11a1,0.3010880400158504,"Ldb3,Opn4",0.3297776419200007
62,Rhog,0.5924222176248912,Nudt21,-0.520835260567619,Eif1a,0.3405631546494465,Lss,0.30095831492347225,Nup133,0.3297392216579032
63,Dtd1,-0.5923881351666018,Fermt2,-0.5198645828390956,Dusp7,0.3396681288582843,Rbp7,-0.300624105368631,Ube2b,-0.3293277579034024
64,Nup50,0.5918331096970255,2510002D24Rik,-0.5198332391002093,Slc19a2,-0.3393058842554395,Top2a,0.2995701699828212,Fam83d,0.3291943527107507
65,Ccdc86,0.5915932496323743,Gpd1,0.5185956759034982,Emp1,0.3382048659190721,Sec22b,0.2986720153676737,Arv1,0.3291652328583507
66,2610001J05Rik,0.5914282729310826,Rnf11,0.517969058207562,Cyp21a1,0.337555366358961,Ott,0.2984803635127333,Mettl15,0.32893468317159114
67,Adrb3,-0.5907097148883118,Slc8b1,-0.5175835258671947,Slc2a4,-0.3373661583805664,2310046K01Rik,-0.29839941600214803,Serpina3g,0.326818526166275
68,Chrnb1,-0.5905176073550367,Ei24,0.5174905060222477,Alox5ap,0.33668426706537746,6030419C18Rik,0.29838222125969005,Csnk2a2,-0.3261910366282779
69,Cir1,-0.5905064816533154,Slc39a11,0.5170269362165113,Alkbh2,0.33641427625362724,Hist1h2ad,0.2982642898914988,Poc1a,0.32554764589913576
70,B4galt6,0.5902851955107453,Pacrg,0.5168832006921239,Cd27,-0.33538012446182847,Mrps30,0.2978893104080742,"Serpina3h,Serpina3k",0.32547647527939283
71,Clec4a2,0.5901699079223773,Itfg1,0.5153011712187004,Myoz3,-0.33537784213281113,Cdk5rap2,0.29720320541571366,Eln,0.32476019325035044
72,Ddrgk1,-0.5899754610450886,Tprgl,0.5151778640271009,Egr2,0.3353642636397201,Ttbk2,0.29717677622726435,E330020D12Rik,0.324147812799892
73,Clmn,-0.5898004765430285,Cenpk,0.5134792064241297,Zfp661,-0.33434389631776373,2300002D11Rik,-0.29693790673035614,Pnma2,-0.32329893834889695
74,Acad11,-0.588861797662287,Limk1,0.512405959662624,Timp1,0.3342713528486486,Stk38,0.2966696222885707,Rfwd2,-0.3229798679273515
75,Pcsk6,-0.5887811533462928,Fbp1,0.5105811948604959,Ccnk,-0.33402303824394347,Zbtb43,-0.29626933466800404,Col3a1,0.32193760020136325
76,Ces1d,-0.5877553276781954,Esd,0.5102881124895864,Slc2a13,0.3329853754755623,Hivep1,0.29617370066275256,"AL928926.1,Gle1",0.32137775600637564
77,Ercc5,-0.5875455280311453,Gjb1,-0.5100336119704374,Irx1,-0.3323311947008103,Gabrg1,-0.29525286254390487,Cyb5r1,-0.3212508149875295
78,Ddt,-0.5869987912892728,Arhgef10l,-0.5079619121764704,Tmco7,-0.33188679992497355,Rnf219,-0.29379137475545386,Gm1976,0.3205150091073272
79,Gpr65,0.5856793164794043,Col18a1,-0.5066287220896745,Pskh1,-0.3318760298890743,Trpc4,-0.29367228622531066,Cabp7,0.32021386943944086
80,Crebrf,-0.585454171593279,F7,-0.5063935723117146,Arpc1b,0.33133975013731265,Smyd2,0.2930592951090659,Ndufs2,0.3202130839513519
81,Xpc,-0.5851279326680617,Scarb1,-0.5061940146951767,Pxn,-0.33128167851185103,Perld1,-0.29281334354553484,Tmem64,-0.3201281349348586
82,Ppp4r1,0.5838689452214728,Dlg3,-0.5061884928195526,Psmd8,0.33046813426269206,Cacna1f,0.2927333061880155,Serping1,0.3190825624825073
83,Mettl7a2,-0.5838157102133666,Aldob,0.5034920333228319,Ly86,0.33042902750559067,Sh3bgrl3,-0.2926654180154039,Myh10,-0.31880797211925704
84,Lgals12,-0.5832670714268678,Apoa4,0.5033919907629569,Pros1,0.3304271753753422,Pxdn,0.2926121359268056,Tbc1d2,0.3180242694128024
85,Sox6,-0.5832559161608515,Fth1,0.5032238180128898,Tuba1b,0.32984846377780563,Ppm1m,0.29260938026249483,Gm16093,0.31784998625985755
86,Hck,0.5830561158541,Cdc20,0.5019813192789877,Kctd20,-0.3292421622498175,Anp32b,-0.2923588988764944,Usp14,-0.31782795775187905
87,Pde1a,-0.5829059060014405,Atp2b2,0.5017888179065885,Tcf25,-0.3292342791886472,Olfr317,0.2915333098609653,Txlng,-0.3172904230438256
88,Apcdd1,-0.5822358291529877,Emg1,-0.4998929594535123,Acrbp,-0.328513589749869,Stip1,0.29102522781589296,Zkscan17,0.316891528611425
89,Oxld1,-0.5821385397027623,Mcm4,0.4997333640965395,Cd52,0.32850245728409994,Mrps22,0.29085550241726904,"Gal3st4,Gpc2",-0.3160308613817059
90,Srr,-0.5821339069080783,Plekha1,0.4993035596764792,Ear4,0.3275691934561819,Iapp,0.290145465851822,H2afy2,-0.3160036351238413
